Label,Description,License,Attribution,Sequence_filename,Sequence_label,Sequence_viewing_experience,unique_identifier,Metadata_label,Metadata_value
MEMENTO MORI: DEATH COMES TO THE TABLE,MEMENTO MORI: DEATH COMES TO THE TABLE,"<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>",University of Notre Dame::Hesburgh Libraries::General,,Sequence1,individuals,1999.024,,
,,,,,,,,Accession Number,1999.024
,,,,,,,,Repository,Snite
,,,,,,,,Creator,Giovanni Martinelli
,,,,,,,,Creation Date,16200101
,,,,,,,,Display Date,17th century
,,,,,,,,Title,MEMENTO MORI: DEATH COMES TO THE TABLE
,,,,,,,,Classification,painting
,,,,,,,,Media,oil on canvas
,,,,,,,,Dimensions,48 x 57 1/4 x 4 3/8 in. (121.92 x 145.42 x 11.11 cm)
,,,,,,,,Exhibition,"To Be, or Not To Be: Four Hundred Years of Vanitas Painting(02/04/06 - 04/02/06)
Face to Face: Examining Identity(09/14/03 - 11/16/03)
"
,,,,,,,,,
,,,,,,,,Bibliography,"Kelly, III, Raymond, To be or not to be, Flint Institute of Arts, Flint Institute of Arts, 2006, 56-57
Loving, Charles, Face to Face, The University of Notre Dame, University of Notre Dame, Notre Dame, IN, 2003, 16-19
Snite Museum of Art, Selected Works: Snite Museum of Art, 2nd. ed., University of Notre Dame, Notre Dame, IN, 2005, 126
"
,,,,,,,,Key words,"death
Allegory
food
table
"
